Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Time Slot
5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,Morning
6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,Afternoon
380,Airport,8.0,Trip Completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,Early Morning
1050,Airport,8.0,Trip Completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,Evening
1769,City,8.0,Trip Completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,Early Morning
2520,City,8.0,Trip Completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,Night
3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,Morning
4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,Morning
449,Airport,9.0,Trip Completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,Morning
846,Airport,9.0,Trip Completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,Evening
1346,Airport,9.0,Trip Completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,Night
1474,Airport,9.0,Trip Completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,Early Morning
2240,City,9.0,Trip Completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,Evening
3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,Early Morning
3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,Evening
3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,Evening
4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,Night
4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,Late Night
4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,Evening
5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,Early Morning
5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,Morning
1809,Airport,10.0,Trip Completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,Morning
2064,Airport,10.0,Trip Completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,Afternoon
3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,Morning
4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,Early Morning
4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,Afternoon
5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,Early Morning
6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,Afternoon
2030,City,11.0,Trip Completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,Afternoon
3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,Morning
3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,Afternoon
4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,Early Morning
4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,Evening
5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,Early Morning
5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,Early Morning
6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,Evening
45,Airport,12.0,Trip Completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,Late Night
264,City,12.0,Trip Completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,Early Morning
1183,City,12.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,Night
1536,Airport,12.0,Trip Completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,Early Morning
2437,City,12.0,Trip Completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,Evening
2641,Airport,12.0,Trip Completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,Night
4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,Late Night
4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,Morning
5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,Evening
5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,Early Morning
5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,Morning
6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,Evening
155,City,13.0,Trip Completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,Early Morning
310,Airport,13.0,Trip Completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,Early Morning
607,City,13.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,Morning
1012,City,13.0,Trip Completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,Evening
1696,Airport,13.0,Trip Completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,Early Morning
3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,Early Morning
4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,Early Morning
4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,Morning
5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,Night
5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,Early Morning
6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,Night
139,Airport,14.0,Trip Completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,Early Morning
215,City,14.0,Trip Completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,Early Morning
1816,City,14.0,Trip Completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,Morning
2505,Airport,14.0,Trip Completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,Night
3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,Afternoon
5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,Night
6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,Evening
6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,Night
1027,Airport,15.0,Trip Completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,Evening
2675,Airport,15.0,Trip Completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,Night
3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,Morning
3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,Night
4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,Early Morning
5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,Evening
6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,Afternoon
6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,Evening
591,City,16.0,Trip Completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,Morning
709,City,16.0,Trip Completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,Afternoon
1167,Airport,16.0,Trip Completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,Evening
2661,Airport,16.0,Trip Completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,Night
2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,Early Morning
3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,Morning
3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,Afternoon
3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,Night
4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,Late Night
4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,Early Morning
4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,Afternoon
5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,Night
6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,Afternoon
6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,Evening
634,City,17.0,Trip Completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,Afternoon
939,Airport,17.0,Trip Completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,Evening
2628,Airport,17.0,Trip Completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,Night
3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,Early Morning
4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,Afternoon
4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,Evening
5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,Night
5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,Late Night
5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,Morning
6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,Evening
499,City,18.0,Trip Completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,Morning
1147,Airport,18.0,Trip Completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,Evening
1410,Airport,18.0,Trip Completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,Late Night
1804,Airport,18.0,Trip Completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,Morning
1949,Airport,18.0,Trip Completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,Morning
2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,Late Night
2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,Early Morning
3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,Night
4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,Afternoon
5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,Evening
5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,Morning
494,City,19.0,Trip Completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,Morning
1485,City,19.0,Trip Completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,Early Morning
2042,City,19.0,Trip Completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14,Afternoon
2561,Airport,19.0,Trip Completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21,Night
3813,Airport,19.0,Trip Completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,Night
4260,Airport,19.0,Trip Completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,Early Morning
4395,City,19.0,Trip Completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,Early Morning
5919,City,19.0,Trip Completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,Morning
6002,Airport,19.0,Trip Completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,Afternoon
468,City,20.0,Trip Completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9,Morning
693,Airport,20.0,Trip Completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13,Afternoon
1178,City,20.0,Trip Completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21,Night
2103,City,20.0,Trip Completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16,Afternoon
2292,Airport,20.0,Trip Completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18,Evening
3339,City,20.0,Trip Completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,Afternoon
3694,City,20.0,Trip Completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,Evening
4469,City,20.0,Trip Completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,Early Morning
6432,City,20.0,Trip Completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,Evening
1895,City,21.0,Trip Completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10,Morning
1981,Airport,21.0,Trip Completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12,Afternoon
3744,Airport,21.0,Trip Completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,Evening
4433,Airport,21.0,Trip Completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,Early Morning
6039,Airport,21.0,Trip Completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,Afternoon
6543,City,21.0,Trip Completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,Evening
110,City,22.0,Trip Completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5,Early Morning
362,City,22.0,Trip Completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8,Early Morning
666,Airport,22.0,Trip Completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13,Afternoon
926,City,22.0,Trip Completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18,Evening
1180,Airport,22.0,Trip Completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21,Night
1900,City,22.0,Trip Completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10,Morning
2506,City,22.0,Trip Completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21,Night
3064,City,22.0,Trip Completed,2016-07-13 08:02:03,2016-07-13 08:58:46,8,Early Morning
3327,Airport,22.0,Trip Completed,2016-07-13 12:24:41,2016-07-13 13:23:39,12,Afternoon
3601,City,22.0,Trip Completed,2016-07-13 18:39:00,2016-07-13 19:29:07,18,Evening
4768,Airport,22.0,Trip Completed,2016-07-14 15:39:24,2016-07-14 16:49:03,15,Afternoon
5142,City,22.0,Trip Completed,2016-07-14 20:17:51,2016-07-14 20:48:58,20,Evening
5366,Airport,22.0,Trip Completed,2016-07-14 23:27:22,2016-07-15 00:19:50,23,Night
5575,City,22.0,Trip Completed,2016-07-15 05:53:55,2016-07-15 06:50:02,5,Early Morning
5902,City,22.0,Trip Completed,2016-07-15 09:52:57,2016-07-15 10:37:05,9,Morning
6694,Airport,22.0,Trip Completed,2016-07-15 22:45:44,2016-07-15 23:17:53,22,Night
523,Airport,23.0,Trip Completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9,Morning
747,City,23.0,Trip Completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15,Afternoon
1371,Airport,23.0,Trip Completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0,Late Night
1553,City,23.0,Trip Completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6,Early Morning
1692,Airport,23.0,Trip Completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7,Early Morning
2114,City,23.0,Trip Completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16,Afternoon
2742,City,23.0,Trip Completed,2016-07-13 03:07:37,2016-07-13 03:51:35,3,Late Night
4273,City,23.0,Trip Completed,2016-07-14 06:17:01,2016-07-14 07:02:28,6,Early Morning
4668,City,23.0,Trip Completed,2016-07-14 12:25:02,2016-07-14 13:34:58,12,Afternoon
5425,City,23.0,Trip Completed,2016-07-15 02:23:56,2016-07-15 03:08:35,2,Late Night
5488,City,23.0,Trip Completed,2016-07-15 04:53:42,2016-07-15 06:00:16,4,Late Night
5781,City,23.0,Trip Completed,2016-07-15 08:35:47,2016-07-15 09:42:27,8,Early Morning
5966,Airport,23.0,Trip Completed,2016-07-15 10:54:27,2016-07-15 11:58:44,10,Morning
6122,City,23.0,Trip Completed,2016-07-15 15:26:06,2016-07-15 16:29:40,15,Afternoon
357,Airport,24.0,Trip Completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8,Early Morning
1068,City,24.0,Trip Completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19,Evening
2689,Airport,24.0,Trip Completed,2016-07-13 00:34:03,2016-07-13 01:49:08,0,Late Night
2791,City,24.0,Trip Completed,2016-07-13 04:56:20,2016-07-13 05:33:20,4,Late Night
3321,City,24.0,Trip Completed,2016-07-13 12:23:02,2016-07-13 13:25:14,12,Afternoon
3423,Airport,24.0,Trip Completed,2016-07-13 15:52:07,2016-07-13 16:50:46,15,Afternoon
3761,Airport,24.0,Trip Completed,2016-07-13 20:35:24,2016-07-13 21:39:02,20,Evening
4140,City,24.0,Trip Completed,2016-07-14 04:48:09,2016-07-14 06:05:01,4,Late Night
4656,City,24.0,Trip Completed,2016-07-14 12:06:27,2016-07-14 12:49:14,12,Afternoon
4931,Airport,24.0,Trip Completed,2016-07-14 18:21:52,2016-07-14 18:54:03,18,Evening
5268,City,24.0,Trip Completed,2016-07-14 21:29:35,2016-07-14 22:30:11,21,Night
5811,City,24.0,Trip Completed,2016-07-15 08:46:30,2016-07-15 09:26:33,8,Early Morning
6139,Airport,24.0,Trip Completed,2016-07-15 15:45:16,2016-07-15 16:40:41,15,Afternoon
6333,Airport,24.0,Trip Completed,2016-07-15 18:41:22,2016-07-15 19:53:29,18,Evening
773,City,25.0,Trip Completed,2016-07-11 16:23:00,2016-07-11 17:21:00,16,Afternoon
1123,City,25.0,Trip Completed,2016-07-11 20:20:00,2016-07-11 21:18:00,20,Evening
2667,Airport,25.0,Trip Completed,2016-07-12 23:35:00,2016-07-13 00:40:52,23,Night
2833,City,25.0,Trip Completed,2016-07-13 05:27:26,2016-07-13 06:19:18,5,Early Morning
3396,City,25.0,Trip Completed,2016-07-13 14:59:08,2016-07-13 15:57:24,14,Afternoon
3590,City,25.0,Trip Completed,2016-07-13 18:31:29,2016-07-13 19:31:56,18,Evening
3762,City,25.0,Trip Completed,2016-07-13 20:38:10,2016-07-13 21:21:24,20,Evening
4566,City,25.0,Trip Completed,2016-07-14 09:48:56,2016-07-14 10:22:52,9,Morning
4862,City,25.0,Trip Completed,2016-07-14 17:37:44,2016-07-14 18:41:40,17,Evening
5564,Airport,25.0,Trip Completed,2016-07-15 05:41:11,2016-07-15 06:53:22,5,Early Morning
6187,City,25.0,Trip Completed,2016-07-15 17:11:08,2016-07-15 18:08:11,17,Evening
6642,City,25.0,Trip Completed,2016-07-15 22:07:14,2016-07-15 22:54:02,22,Night
322,City,26.0,Trip Completed,2016-07-11 07:31:00,2016-07-11 08:10:00,7,Early Morning
793,City,26.0,Trip Completed,2016-07-11 17:04:00,2016-07-11 18:06:00,17,Evening
898,Airport,26.0,Trip Completed,2016-07-11 18:14:00,2016-07-11 19:09:00,18,Evening
1258,City,26.0,Trip Completed,2016-07-11 21:51:00,2016-07-11 23:00:00,21,Night
2832,City,26.0,Trip Completed,2016-07-13 05:20:16,2016-07-13 06:14:07,5,Early Morning
3139,City,26.0,Trip Completed,2016-07-13 08:54:04,2016-07-13 09:22:42,8,Early Morning
3438,City,26.0,Trip Completed,2016-07-13 16:12:53,2016-07-13 17:13:44,16,Afternoon
3966,Airport,26.0,Trip Completed,2016-07-13 22:50:42,2016-07-13 23:27:43,22,Night
6401,Airport,26.0,Trip Completed,2016-07-15 19:33:00,2016-07-15 20:16:57,19,Evening
204,City,27.0,Trip Completed,2016-07-11 06:04:00,2016-07-11 06:44:00,6,Early Morning
632,Airport,27.0,Trip Completed,2016-07-11 12:20:00,2016-07-11 13:10:00,12,Afternoon
763,City,27.0,Trip Completed,2016-07-11 16:19:00,2016-07-11 17:25:00,16,Afternoon
1786,Airport,27.0,Trip Completed,2016-07-12 09:03:00,2016-07-12 09:58:00,9,Morning
1968,City,27.0,Trip Completed,2016-07-12 12:10:00,2016-07-12 12:49:00,12,Afternoon
2088,Airport,27.0,Trip Completed,2016-07-12 15:51:00,2016-07-12 17:02:00,15,Afternoon
2473,Airport,27.0,Trip Completed,2016-07-12 20:43:00,2016-07-12 21:20:00,20,Evening
2869,Airport,27.0,Trip Completed,2016-07-13 05:50:09,2016-07-13 06:27:07,5,Early Morning
3742,Airport,27.0,Trip Completed,2016-07-13 20:24:23,2016-07-13 20:48:05,20,Evening
4440,Airport,27.0,Trip Completed,2016-07-14 08:26:29,2016-07-14 09:00:36,8,Early Morning
5234,City,27.0,Trip Completed,2016-07-14 21:09:47,2016-07-14 21:52:37,21,Night
6354,Airport,27.0,Trip Completed,2016-07-15 18:59:01,2016-07-15 19:35:10,18,Evening
6638,City,27.0,Trip Completed,2016-07-15 21:59:10,2016-07-15 23:13:18,21,Night
84,City,28.0,Trip Completed,2016-07-11 04:50:00,2016-07-11 05:26:00,4,Late Night
1199,City,28.0,Trip Completed,2016-07-11 21:17:00,2016-07-11 21:53:00,21,Night
1676,Airport,28.0,Trip Completed,2016-07-12 07:44:00,2016-07-12 08:40:00,7,Early Morning
